comment_id,text
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGU2AtuMTv,As it should.
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGTwDrt3TX,That's exactly what I thought
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGTswQAHhy, @TheOnlyMilad  same thing
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGUiiBYaLU,Ollum no
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGUmr5zkwq,As it should
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGXRAXJwbM,I still like android...
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGY-XGyyI-,Can't wait until someone figures that out and makes a humorous video about it...
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGXgEg4u0u,Those widgets don't blend in the home screen like android. Still can't do multitasking.
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGW8YcWDUv,😂 bruh
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGWfWXiBFe,LMAO
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9APlOOqCcYi,"Roger Stryker every gang throws gang signs but most gangs only throw a few signs to rep their set, depending where and which gang"
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9Dl-pzgLljx,"Unless they make a Q sign, they get shadowbaned 😂"
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGUma9-ZRb,Milad Zemaray that’s like saying crip and japanese the same thing they are NOT
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGWO8sEMgX, @ybams  it was a joke
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AR-tkWlfN-,Crypticwtf he meant any signs and it’s a joke. are u special?
UgwKJWgP0dbYqxmEHSR4AaABAg.9AGSXdGuAKi9AGZiMywnbd,Crypticwtf they are tho?????
Ugz1lRXBADlq8GRlMbt4AaABAg.9AGV-T-xCBR9AGZdg2k74L,"Anthony Thomas, To be fair it was two hours long, so those reiterations are helpful, but nonetheless this was the best breakdown so far."
Ugz1lRXBADlq8GRlMbt4AaABAg.9AGV-T-xCBR9AGZNFNo8Q6,Watch Nick Ackerman or Brandon butch they did great vids as well
Ugz1lRXBADlq8GRlMbt4AaABAg.9AGV-T-xCBR9AG_Z-8nKHZ,That why he’s the best
Ugz1lRXBADlq8GRlMbt4AaABAg.9AGV-T-xCBR9AGakwHawT4,The fucking best
Ugz1lRXBADlq8GRlMbt4AaABAg.9AGV-T-xCBR9AG_FZp1eZ2,I agree!
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9Eg8lH1ePuS,Laughs in youtube vanced
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9EdsPdKtMvD,"Theo G Uh, just because other people have complained about it doesn’t mean their a bot. If it does have any meaning it should be how much of a complaint these double ads are."
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9Eq8CvGNtQ3,"irfan raza When did I say anything about people being a bot, bot? 🤔 🤖"
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9Hm6iZSkd1L, @irfanraza-lz3ye  he didnt say it was a bot and its literally the exact same as all the others
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9EWuCX9hMy9,ikr
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9Ep9b4jRSnP,Youre getting really comfortable with these double unskippable ads
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9EdbpRjxvaK,Copy copy paste
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9Ew5sLAXHlA,Copy paste
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9KLgD_xWLeW,This person understands true pain.
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9F6xhDVOSUS,Frrr!!
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9FPKOChtjIS,Get a YouTube premium ?
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9JlUyx2PnVN," @beckhamng6619  nah, just get Vanced."
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9FTh8sbpfA0,I forgot YouTube has ads. Use Google rewards to earn money that will cover your YouTube premium subscription. Completely worth it.
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9FUL8oTnZCd,"@Ninja God it's just called adblock, on chrome, free"
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9FbSiw2TydH,I don’t get ads I pay 15$ a month for a premium family plan and i really don’t think the 10$ fee is that expensive
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9Hc6e_ZawgV,Omg fr i get so annoyed
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9IduaHbH9v6,just add some add blocker extension i guess :))
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9JlV6b8no4m,"Just get Vanced or Adguard Premium. Even if you pay for Adguard, it is still cheaper than YouTube Premium. About 3-4 times."
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9EhFomtymA5,Remember when the only videos that had ads were VEVO videos
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9F4OjkW8_kU,Just report the first one and the next one won't come.
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9FREWg0cHiy,Bro you just getting double I’m getting 9 at Times
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9FXl42R-Y4V,Wow so original 😐
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9Fn306oa07I,Stop whining and get an adblock
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9FpnWMbbYXr,Ikr
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9G5HBIyZeD2,And you are getting really comfortable with copy pasting comments
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9G5b-bd9aRW,"They are skipable
Press the little i button... and then report the ad... and now u can skip every ad in like 2 seconds! Thank me later"
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9GD28o36ju8,Earlier I got double unskippable adds and a survey underneath
Ugz0tJAXnVM0hDg9yS14AaABAg.9ECFQQpUFFG9GZrRLnuTP6,Getting 'em for about 2 months now....The same 2 ads...Every single time
